text,label
lower liability cost could improve singapore banks ' net interest margins,1
The social plan negotiations were part of the three year turn-around program which is expected to ensure Salomon 's future competitiveness .,1
Shire in talks with Baxalta shareholders,1
unusual says mulling ' corporate exercise ' in response to sgx query,1
"pentamaster 's 2q net profit doubles on higher revenue, better product mix",1
capitaland mall trust kept at ' buy ' in the face of new retail supply,1
zecon to raise about rm6.5 mil from private placement for working capital,1
TeliaSonera has secured deliveries for 4G modems with support for 3G and 2G during the second quarter 2010 .,1
roxy-pacific 's 4q earnings drop 39% to s$7.27m; declares final dividend of 0.771 s ' pore cents,-1
klci seen opening higher in line with global equities ' rally,1
opus goodwill impairment drags uem edgenta into the red in 2q,1
"hartalega, mahb shares surge as they join klci list, but fall of oil price hits dialog shares",1
mrcb fixes issue price at rm1.09 for first tranche private placement shares,1
pavilion reit to participate in ownership of pavilion bukit jalil mall,1
airbus raises base prices of commercial planes by an average 2%,-1
csc 's fy18 seen to be weighed down mainly by weaker margins,-1
bank negara to cooperate with rci on central bank forex probe,-1
ytl power 's gas service agreement seen to be inked soon,1
prg inks strategic agreement with china firm to undertake construction jobs,1
Those will be partially offset by a 186 mln eur gain on the sale of its Celbi pulp plant in Portugal .,1
"with china 's help, cambodia strongman set to extend 33-year rule",1
rhb strategy for 2017: singapore medical group 's expansion into vietnam market is just the beginning,1
pm najib: bukit bintang city centre ' significant national-level development ',1
chew 's group shares down 3 s' pore cents on news of thunderstorm damage,-1
external factors to hurt airasia 's earnings in fy17 to fy18 - cimb research,-1
cover story: ' we took a negative final investment decision ',-1
emas offshore narrows 1q net loss on higher finance and other income,-1
"gadang 's 4q net profit climbs 20% on better margins, higher revenue",1
"We also strengthen our existing partnership with Cybercom '' , says Teleste CTO Esko Myllyla .",1
"Earlier today , Geberit 's Finnish rival Uponor OYJ cut its full-year sales growth forecast to 6 pct from 10 pct , blaming tough conditions in Germany and the US , as well as currency factors .",-1
Sainsbury sales slip again as price pressures take a toll,-1
"hong kong home prices hit another record, but could face headwinds",-1
"FTSE 100 falls as China devaluation hits Burberry, mining stocks",-1
hong leong bank 4q net profit down 14% on year at rm483m,-1
"The offer , deemed too low by Finnlines ' board , stands until 4 pm tomorrow .",-1
: Lietuvos Respublikos sveikatos apsaugos ministerija has awarded contract to UAB `` AFFECTO LIETUVA '' for financial systems software package .,1
"fgv 's cfo ahmad tifli has replied to show-cause letter, remains on leave of absence",-1
"The number of permanent reductions of clerical workers is 22 employees , of which 19 in Finland .",-1
"bermaz auto sees strong start to fy19, pays 2.5 sen dividend",1
11 August 2010 - Finnish measuring equipment maker Vaisala Oyj HEL : VAIAS said today that its net loss widened to EUR4 .8 m in the first half of 2010 from EUR2 .3 m in the corresponding period a year earlier .,-1
"poh huat 's 2q net profit falls 14.3%, declares 2 sen dividend",-1
"In addition to Russia , we now seek additional growth in Ukraine .",1
marc assigns stable outlook to serba dinamik 's islamic commercial papers,1
malaysia airlines to pass on psc savings to passengers on asean travel,1
Layoffs will also take place at the Suomussalmi and Kuhmo plants this autumn as a result of codetermination negotiations held there .,-1
fbm klci up before erasing gains as financial reporting season nears conclusion,1
Tesco leads leap in FTSE 100; Marks & Spencer drops,-1
singapore 's 3q gdp up 0.6% on year in advance estimates,1
"Jawad Williams scored 23 points in an impressive debut for Jerusalem , with Jason Rich adding 18 and Yuval Naimi chipping in with 16 points for Hapoel , which visits the yellow-and-blue next week .",1
hong kong 's fwd to buy hsbc 's stake in malaysian insurance venture - sources,1
` Very recommendable ' is the Nokian Z G2 according to the ` ADAC judgement ' in the latest summer tyre test of the German automobile association ADAC .,1
myix announces lower port fee to support local isps and others,1
Legal & General arm buys 50 pct stake in MediaCityUK in Manchester,1
Fewer multi-buys hurt Sainsbury's market share,-1
gas malaysia 's profit jumps in 2q on higher volume of natural gas sold,1
"midf research upgrades sunway construction to buy, raises target to rm1.32",1
asia ex-japan may see a less bountiful 2018 after record year of bond transactions: debtwire,-1
"Outokumpu 's steel mill in Tornio , in Finland , is the suspected source .",-1
"Wartsila won the contract in October 2007 and the plant will be installed at Manturovo in the Kostroma region of Russia , about 600 km northeast of Moscow , Russia .",1
thailand holds key rate as it keeps watch on volatile baht,1
"MD Henning Bahr of Stockmann Gruppen praises the trend , since the chains become stronger and their decision-making processes more clear .",1
cimb says it has zero tolerance for staff who misuse information or position,1
Aggreko 2015 Profit Declines - Quick Facts,-1
"The Finnish national carrier said net loss in April through June was euro26 million , down from a net profit of euro13 million a year earlier .",-1
"Finnish Ahlstrom Corporation will double its investments in a new specialty glassfiber reinforcement plant in South Carolina , in the US .",1
sgx signs moi with imda to lower barriers for tech companies to access capital markets,1
"( ADPnews ) - Nov 9 , 2009 - Four companies have agreed to buy for a combined SEK 5.9 billion ( USD 854m-EUR 571.8 m ) all drug stores offered for sale as part of the restructuring of Swedish stated-owned pharmacy monopoly Apoteket AB , t",1
"nam cheong swings back to profitability in 1h18 post debt restructuring, resumes trading today",1
"Profit for the period was EUR 9.8 mn , up from EUR 6.0 mn in 2004 .",1
klci to remain lacklustre in line with overnight fall at global markets,-1
The main strength of the cooperation project lies in merging the know-how of two large companies .,1
"manulife us reit placement ' well over-subscribed ', raises gross proceeds of us$80.5 mil",1
ytl power to develop rm8.42b jordan power plant with china 's yudean group,1
airasia denies claims tony fernandes will resign to enter the financial technology sector,1
"bright packaging 's 1q net loss widens on lower sales volume, forex losses",-1
"Elisa said mobile subscriptions grew 7 percent during 2007 , mainly because of customers adopting so-called third generation mobile technology .",1
tasco venturing into cold chain logistics via rm188m buy of gold cold,-1
10 February 2011 - Finnish media company Sanoma Oyj HEL : SAA1V said yesterday its 2010 net profit almost tripled to EUR297 .3 m from EUR107 .1 m for 2009 and announced a proposal for a raised payout .,1
"`` With this agreement , we can continue our good cooperationand at the same time release capital that has been tied up in ourmachinery operation .",1
Finnish pharmaceuticals company Orion 's net sales rose to EUR 190mn in the first quarter of 2009 from EUR 180mn in the first quarter of 2008 .,1
"Citigroup , Inc ( NYSE : C ) has announced that its Global Transaction Services ( GTS ) business has been awarded a new mandate by Finland-based Pohjola Bank Group .",1
china jinjiang environment an opportunity to tap on fast-growing waste-to-energy market,1
Finnair said that the cancellation of flights would cause daily losses of  x20ac 2.5 million US$ 3 million .,-1
"hlib research upgrades brahim ' s, raises target to 98 sen",1
marc affirms sime darby plantation 's aaa rating with stable outlook,1
Finnish automation solutions developer Cencorp Corporation ( OMX Helsinki : CNC1V ) said on Friday ( 27 June ) that it has completed employee negotiations regarding a reorganisation of its operations .,1
"global airline share prices rose by 3.6% in october, says iata",1
- Net sales for the period are expected to fall well below that of last year and the result after non-recurring items is expected to be in the red .,-1
hap seng plantations warns of lower fy18 earnings as 2q profit slumps 85%,-1
"likely special dividend by airasia from aac stake sale, says cimb research",1
"Via the Satlan acquisition , Teleste plans to further expand its market presence as a video services partner for cable operators , broadcasters and IPTV service providers .",1
"pricing, asset quality and cost-cutting the keys in mbsb-muamalat merger talks",1
"ambank, rhb bank fall after moody 's report on proposed merger",-1
Unilever Continues to Battle Soft Demand,-1
banking sector seen on track for 5% loan growth in 2018,1
"indonesia may need to keep hiking rates, but no crisis brewing - bank ceo",1
"As a result , the company has decided it will implement fixed-term temporary lay-offs .",-1
parkway life reit posts 3.7% drop in 2q dpu to 3.19 cents on absence of one-off gains,-1
"how does helping a client sabotage an economy, asks lawyer in sosma case",1
"UPDATE 1-Norway's Statoil shakes up top management, replaces CFO",-1
ram: local shippers to see keener competition following cabotage policy relaxation,-1
dr m to bring in chinese car parts makers to improve local talent,1
versatile creative terminated as main contractor for us$69.3m halal vaccine project,1
apple to start india manufacturing in coming months with iphone se - source,1
"`` Uncommonly weak snow conditions in nearly every market have affected our first quarter result , '' Chief Executive Roger Talermo said .",-1
affin hwang am cautions investors against ' chasing the market ' amid market rally,-1
"At the same time , sales development in Russia was boosted by the opening of Stockmann Nevsky Centre in St Petersburg .",1
th heavy slumps 13.33% after auditor casts concern on future operations,-1
The company also expects to sell its products in other Russian region .,1
"It projected revenue of $ 2.2 billion to $ 2.3 billion , slightly higher than analyst estimates of $ 2.19 billion .",1
"` Our strategic cooperation with Rentakran brings us new customers and already-working relationships with the authorities of the new territories , ' said Jarmo Laasanen , a senior manager at Cramo .",1
sgx refines surveillance system to allow greater unusual share trading movement,1
yuan 's record weekly losing streak puts specter of 7 in play,-1
kps ups stake to 51% in firm awarded rm174m infrastructure job,1
hap seng plantations to acquire smaller rival kretam for rm1.18b or 92 sen per share,1
f&n 3q net profit jumps 51% on higher contribution from malaysia and thailand,1
"Therefore , the company 's 2005 result will remain weaker than that of 2004 .",-1
Barclays poaches new chief operating officer Paul Compton from JP Morgan Chase,1
"hiring woes largely due to lack of online presence, suggests survey",-1
petronas slashes 2016 dividend by 38.5% to rm16b after sharp profit fall,-1
`` We 've been feeling quite positive about the region as a whole .,1
"Lifetree was founded in 2000 , and its revenues have risen on an average by 40 % with margins in late 30s .",1
"The apartment block will be well-located , in easy reach of the city center and close to both a school and kindergarten .",1
"`` This vessel order will help Aspo secure the long-term competitiveness of its fleet , both in terms of technology and pricing .",1
"Foundries division reports its sales increased by 9.7 % to EUR 63.1 mn from EUR 57.5 mn in the corresponding period in 2006 , and sales of the Machine Shop division increased by 16.4 % to EUR 41.2 mn from EUR 35.4 mn in the corresponding period in 2006 .",1
"According to Finnish Aktia Bank 's Managing Director Jussi Laitinen , the bank 's aim is to triple the number of its customers in Finland in the next five years .",1
lotte chemical 2q net profit at rm315.03m vs rm113.62m on revenue of rm2.27b vs rm1.78b a year ago,1
Operating profit was EUR 1.6 mn in 2005 compared to EUR 5.9 mn in 2004 .,-1
"In Finland , snow storms brought trees down on power lines , cutting off electricity for some 2,000 households .",-1
"Coca-Cola was the market leader of manufacturers with a market share of 36.9 % , down 2.2 % from the corresponding period in 2004-2005 .",-1
Operating profit in the fourth quarter fell to EUR33m from EUR39m a year earlier .,-1
"For the full 2010 the company expects its net sales and operating result to improve from the previous year , saying that a positive operating result and its amount will depend on the order intake by the end of the summer .",1
Britain cuts Lloyds Banking Group stake to below 17 pct,-1
"Finnish Sampo Bank , of Danish Danske Bank group , reports profit before taxes of EUR 152.3 mn in 2010 , up from EUR 32.7 mn in 2009 .",1
"sinmah capital to go into property development, forms jv with encorp",1
Nokia - the world 's largest mobile phone manufacturer - and China Postel - China 's largest mobile phone distributor - have a long-standing partnership that continues to grow stronger over time .,1
bumi armada reports rm124m 3q net profit on better fpso businesses,1
gic in talks to buy stake in us clinical trials firm: sources,1
bertam alliance unit served notice of demand for payment of rm4.57m and continuing interest,1
malaysia drops four spots to 23rd place in global ip protection,-1
"`` BasWare 's product sales grew strongly in the financial period , by 24 percent .",1
"macc to record  statements from fgv 's mohd isa, senior management",-1
Activist Fund TCI Backs German Takeover of London Stock Exchange,1
guocoland 1q net profit down 99% on absence of fair value gain,1
most se asian stocks fall; indonesian shares slide as rupiah slumps,-1
"Operating margin , however , slipped to 14.4 % from 15.1 % , dragged down by a poor performance in enterprise solutions .",-1
"The subscriptions increase Cargotec 's share capital by 36,780 euros .",1
Small investors have voiced fears that the shares will end up with risk investors .,-1
mk land unit slapped with irb lawsuit over rm26.98m tax claim,-1
"`` They would invest not only in the physical infrastructure , but would also provide know-how for managing and developing science and technology parks , '' said Sunrise Valley director Andrius Bagdonas .",1
GlaxoSmithKline set to complete $20 billion Novartis asset swap next week,1
AstraZeneca profit down as sales of stalwarts fade,-1
"higher oil price may boost knm momentum, says public ib research",1
malaysia airlines converts 737 max 8s order for 10 737 max 10s,1
oil speculators bet rally 's over as doubts grow on output freeze,-1
"klci halts ascend, tracks regional markets on u.s.-china trade war woes",-1
cimb niaga 's loan growth is targeted to pick up this year,1
hong leong ib: george kent in ' prime position ' for kl-singapore hsr bid,1
informatics education reports 24% fall in 3q earnings to s$0.8 mil,-1
CompaniesLord Livingston joins Dixons Carphone,1
"Comparable net sales are expected to increase more than 10 % in 2008 , in line with group target .",1
"As a result , the distribution companies will start to distribute , in addition to their current product offering , Shimano reels , rods and other Shimano fishing tackle products on an exclusive basis .",1
klci falls 13.92 points as local stocks catch up with regional decline,-1
federal court rules statements recorded by sc are protected from disclosure,1
gd express 3q net profit up 9.28% on higher courier services demand,1
"As a result , the Russia 's import restrictions on Finnish dairy companies will be canceled on 6 August 2010 .",1
china to pull approval for facebook 's planned venture - nyt,1
Both loans will be used to finance strategic investments such as shopping center redevelopment projects and refinancing of maturing debt .,1
bain files for china antitrust approval on us$18b toshiba chips deal - source,-1
CompaniesG4S claims 'positive' start to the year,1
ecoworld to hand over aurora and basalta @ eco sky by this year-end,-1
"bison 's 2q net profit at rm4m, declares 1.5 sen dividend",1
"Systeemitiimi 's sales and project resources will also be strengthened , director Paul Skogberg said .",1
"`` The change will optimize the operational efficiencies of our growing business , '' said Julia Prohaska , director of marketing communications for Fiskars .",1
advance synergy 's unit completes investment in vietnam 's top mobile service provider,1
"' foreign buying loses traction, falls to lowest this year '",-1
rubberex 2q net profit down 36% on higher costs of production,-1
ccm duopharma 's gearing to rise to 0.87 times on rm280m financial facilities,-1
mudajaya signs 21-year ppa with tnb to build solar plant in perak,1
sin hee yang property group launches four new projects in bandar baru salak tinggi,1
"from anime to m&a, how netflix plans to spend us$8 bil in 2018",1
UPDATE 1-Seattle flotilla protests Shell's Arctic drilling plans,-1
"Finnish electronics manufacturing services EMS company Elcoteq SE posted a net loss of 66.4 mln euro $ 91.2 mln for the first half of 2007 , compared to a net profit of 7.1 mln euro $ 9.8 mln for the same period of 2006 .",-1
Barclays in $13.75 million US settlement over mutual funds,-1
"Net sales rose by 25.5 % year-on-year to EUR59 .6 m , as the number of chargers delivered went up by 41 % to 65.9 million pieces .",1
GSK joins China trade push as UK trumpets healthcare deals,1
Smith & Nephew recalls hip-replacement components,-1
Currency causes full-year headaches for SABMiller,-1
Lloyds Banking Group to cut 640 jobs and close 23 branches,1
"impairment loss pulls misc 4q net profit down 87%, pays nine sen dividend",-1
"sc ticks multi sports off for submitting false, misleading financial statements",-1
"aax active, falls 1.30% after mahb starts legal action for airport fees",1
"samchem 1q earnings up 38% on higher sales, higher profit margin",1
china 's home prices rise in fewer cities as curbs on buyers bite,1
"analysts still see upside for tnb, as share price approaches record high",-1
"falcon bank: singapore branch shutdown regrettable, but confidence in future remains",-1
"Both operating profit and net sales for the three-month period increased , respectively from EUR16 .0 m and EUR139m , as compared to the corresponding quarter in 2006 .",1
British American Tobacco drops and sues PwC over pollution scandal,-1
"immediate hurdle for ideal jacobs at 29.5 sen, says alliancedbs research",-1
cwk group banks on mrt for wisma aman elite in cheras,1
The parties have also agreed on options that allow UH to extensively implement later on also functionalities of human resources management .,1
The Coca-Cola Company and Coca-Cola FEMSA to Acquire AdeS Soy-Based Beverage Business From Unilever,1
"2010 16 July 2010 - Finnish steel maker Rautaruukki Oyj HEL : RTRKS , or Ruukki , said today it turned to a net profit of EUR20m in the second quarter of 2010 from a net loss of EUR94m in the corresponding period last year .",1
"klci rises 0.5%, continues to climb toward next resistance of 1,727",1
"unless i am completely absent from cimb, the bank cannot operate at its highest level of integrity, says nazir",-1
Industry NewsHammerson joint venture buys Dublin loan portfolio,1
The contract was signed in August with Papua New Guinea-based Lihir Gold Ltd ASX : LGL .,1
"`` Several growth initiatives in the chosen geographic areas are already ongoing , '' it continued , noting Lindex opened its first store in the Czech Republic this autumn in Brno .",1
fbm klci continues to pare gains but remains in positive territory,1
cityneon signs term sheet for running of marvel 's avengers exhibitions in australia,-1
Exxon Beaumont CDU overhaul to be slowed by accident: sources,-1
china aviation oil posts 4.7% rise in 1q earnings to s$35.4 mil,1
This is the first time Finnair has been awarded an agreement with the UK government .,1
"According to Arokarhu , some of the purchases that had been scanned into the cash register computer disappeared when the total sum key was pressed .",-1
Tullow Oil eyes lower earnings as output falls,-1
mulpha international 's 3q net profit falls 16% on lower sales,-1
"Global sports equipment maker Amer Sports Corp. , whose brands include Atomic , Salomon and Wilson , saw a 64 percent increase in third-quarter net profit to EURO 47.4 million $ 65 million on strong sales and cost cuts .",1
"immediate support for eg industries at 83 sen, says alliancedbs research",1
Cuadrilla files to delay application to frack in Lancashire,-1
The rebuilds are designed to improve the machines ' performance and product quality .,1
important for ph to win big in sg kandis - syed saddiq,1
Asian traffic declined by 3.4 per cent .,-1
"malaysia headline inflation to pick up to 3.5% in 2017, says rhb research",-1
"no gaming tax hike; tobacco tax boost unlikely, says ambank research",1
Kalmar has been awarded a new 5-year contract to supply its Rough Terrain Container Handler RTCH .,1
"lower revenue, higher operating costs keep bintai kinden in the red in 1q",-1
"oldtown 's 3q earnings fall 23% on lower revenue, higher expenses; pays 3 sen dividend",-1
"Due to market conditions , the company will also temporarily lay off about 3,200 people at different sites .",-1
ram puts rm845m mrcb southern link sukuk on negative rating watch,-1
"aeon credit 's 2q net profit up 29%, declares 21.13 sen dividend per share",1
eco world bags aon best of the best employer in malaysia,1
"press metal 1q net profit up 56.6%, pays 1.5 sen dividend",1
"wheat falls for 2nd day on ample world supplies, soybeans dip",-1
uob : potential m&a deals to anchor earnings for malaysian telcos,1
"Finnish pharmaceuticals company Orion reports profit before taxes of EUR 70.0 mn in the third quarter of 2010 , up from EUR 54.9 mn in the corresponding period in 2009 .",1
"proton sale: dr m laments ' my child is lost, and soon my country '",-1
BP Judge Urged to Impose $11.7 Billion-Plus Spill Fine,-1
straits trading buys stake in sydney office building for s$122.7 mil,1
"( ADP News ) - Jan 27 , 2009 - Finnish industrial machinery company Vaahto Group Ltd Oyj ( HEL : WAT1S ) said today that its subsidiary Vaahto Ltd would cut 15 jobs in Finland .",-1
caring pharmacy 's 4q net profit jumped 59.2% on higher sales,1
buildtech yangon synergises the development of a green network in myanmar,1
"petgas' 3q slides 27.14% on forex loss, pays 15 sen dividend",-1
ja solar to begin exporting solar cells from malaysia next month,1
aax inks instructor services agreement with asian aviation centre of excellence,1
synergies seen from mmc corp 's full acquisition of penang ports,1
"Last month , Outokumpu sold more than 80 percent of its technology unit , Outokumpu Technology Oyj , to further its strategic goal of becoming the world 's largest stainless steel maker .",1
Royal Dutch Shell Posts Rise in Earnings Despite Lower Oil Prices,1
"felda global active, falls 10% on report of proposed steering committee",-1
right time for tiong nam to go for warehouse reit listing,1
"ivory properties eyes 40-45% gross profit from penang times square 's phases four, five",1
"hlib downgrades mbm to hold, cuts fy15 earnings forecast by 34.8%",-1
Full-year operating result for 2008 was 3.6 million negative .,-1
"world stocks slip for third day as trade, emerging market worries bite",-1
Trading ExpertBROKER RECOMMENDATIONSUBS ups RBS to 'buy' as it re-initiates coverage on UK banks,1
Domino's Pizza worker sacked after crude slur aimed at customer on order screen,-1
"attack only serves to strengthen bursa 's resolve to uphold transparency, corporate governance",-1
HELSINKI AFX - KCI Konecranes said it has won an order for four hot metal ladle cranes from Indian steel producer Bhushan Steel and Strips Ltd. .,1
"The company 's annual loss amounted to EEK 18mn , compared to a profit of EEK 7.3 mn in 2008 .",-1
Royal Dutch Shell profit rises; dividend up 4%,1
"It provides customers with industry-leading elevators , escalators and innovative solutions for maintenance and modernization .",1
"klci expected to stay below 1,720-level as bears remain in control",1
"top glove 3q net profit forecast to be weaker q-o-q, says affinhwang capital",1
"UPDATE 3-BP settles oil spill-related claims with Halliburton, Transocean",-1
"UPDATE 2-AB InBev launches SAB bid, to sell MillerCoors stake",-1
"lower loan impairment allowance, higher loan recovery push affin 's 1q profit up by 284%",1
"`` P&O Ferries now has a very efficient and powerful vessel for its Dover to Calais route , '' head of the shipbuilder 's Rauma yard , Timo Suistio , said .",1
A memorandum of understanding on cooperation between the Finnish Global Chemical Company KEMIRA and Vietnam National Chemicals Group ( Vinachem ) was signed on this occasion .,1
"hong leong bank, public bank among top gainers after malaysia rate hike",1
wall street 's bet on global currencies is bloodied with the dollar soaring,-1
"ipic says ' will make a written demand' to recover money from malaysia 's mof inc, 1mdb",1
"Buffett's Berkshire builds Deere stake, dumps Exxon",-1
"ekovest gets unanimous shareholders' approval for proposed duke disposal, share split",1
Johnson Matthey raises prospect of investor payout,1
uob: ringgit to fluctuate at usd/myr 4.1 to 4.4 but stronger towards year end,1
priceworth says price tag for logging concession is 67% less than market value,-1
Persimmon shares nudge higher as housebuilder sees strong 2014,1
ringgit weakens 0.32% against us dollar as oil falls below us$30 per barrel,-1
mrcb bags rm3.1b contract to build commercial project in kwasa damansara,1
"singapore private home sales rise 7.9% to 1,121 in may from a year ago",1
"forest city residential units offered in exchange for investments in china, says azmin",1
"don' t blame proton for high car prices, says dr mahathir",1
Johnson Matthey profit lifted by metals unit sale,1
"klci to start final week of 2015 on positive note, tight 1,660-1770 band seen",1
"econpile bags rm570m job from malton, reports 29% rise in 2q profit",1
`` Those uncertainties cloud the long-term outlook . '',-1
external auditors express uncertainty over hb global 's ability to continue as going concern,-1
Sales of security and system packaging increased slightly .,1
Applying for summer work is seen as laborious and stressful .,-1
"1mdb agrees to arbitration request filed by ipic, aabar over us$6.5b claim",-1
600 workers were not fired to offset minimum wage hike - hartalega,1
ahmad zaki 's 4q net profit grows 38% on stronger construction income,1
oue says group approached to purchase ue shares but is not in talks,1
thai premier sees elections early next year to end military rule,1
"Dealers said the share was largely hit by investor disappointment about a refining margin of just 9.48 usd per barrel for the quarter and the performance of its shipping unit , which saw EBIT drop to 5 mln eur from 20 mln eur a year amid a fall in volumes and tanker rates .",-1
"Finnish software and hardware developer Elektrobit Oyj HEL : EBG1V , or EB , said today it will temporarily lay off up to 200 people for a maximum of 90 day in Finland , aiming to achieve cost savings of EUR 1.7 million USD 2m in the second half of 2010 .",-1
"capitaland 2q npi down slightly at rm59.8m, declares 2.06 sen dpu",-1
raffles education stays in the red in 9m ended march on challenging business environment,1
"The Baltimore Police and Fire Pension , which has about $ 1.5 billion , lost about $ 3.5 million in Madoff Ponzi scheme .",-1
al-salam reit to buy mydin hypermarket in terengganu for rm155 mil,1
jho low family dealt setback in move to claim assets in 1mdb probe,-1
hong kong stocks fall to near 7-month low as yuan 's slide adds to china growth fears,-1
LONDON MORNING BRIEFING: HSBC And Standard Chartered Shares Rise,1
"jho low used 1mdb money to gift us$325,000 ferrari for kim kardashian - report",1
"westports 3q net profit up 16% on higher cargo volume, revised tariff",1
hlfg 's 2q net profit up 12% on higher commercial banking contributions,1
"all outstanding aes summonses worth rm435m to be cancelled, govt to take over system -- mot",1
"Additionally , the company will terminate a maximum nine salaried and senior salaried employees ' employment contracts .",-1
"Cuts equivalent to the costs of about 35-45 employees are the target , the company said .",-1
"stop blame game, just fix lopsided concessions, ku li tells putrajaya",1
Net sales revenue per passenger is expected to increase .,1
UK's FTSE hits new record highs as CRH climbs,1
"three sgx-listed hotel, restaurant & leisure stocks worthy of the global stage",1
sasbadi eyeing one acquisition per year to strengthen its dominant position,1
"According to Nordic financial group Nordea 's analyst Sami Sarkamies , this makes Nokia 's portfolio competitive again .",1
Asahi could be about to snap up more of SABMiller's beers ahead of AB InBev sale,1
saudi minister says current oil price to soon spur demand growth,1
"Quarterly diluted EPS on continuing operations came in at 0.21 eur , compared with last year 's 0.12 eur .",1
"luxchem 's 4q net profit more than doubles, proposes 4.5 sen dividend",1
malaysia gst will not be raised after ge14 - dpm zahid,-1
capitaland raises s$2 bil to establish third raffles city china private equity vehicle,1
utusan melayu 2q net loss down 34% on lower total costs,-1
knight frank: malaysia home price growth 5th fastest in asia pacific from 2012-17,-1
Sophos aims to raise $100m in London IPO,1
"agreement with SHB 30 December 2009 - Finnish financial services group Aktia HEL : AKTAV has concluded a market making agreement with Svenska Handelsbanken STO : SHB A , or SHB , the two parties said today .",1
"Israeli cable network operator HOT Telecom has chosen Teleste , an international technology group , as its exclusive provider of FTTx equipment in Israel , according to Teleste today .",1
"igb reit 's latest results above expectations, profit rises 8.3% y-o-y",1
hot weekend demand for hong kong units as market yet to cool,1
i-bhd 's 3q net profit slips 12.7%; stays confident of commendable fy17 results,-1
"challenge accepted: singtel launches first mobile plans with unlimited data, talktime and sms",1
"mpi 's 1q net profit surges 136%, pays eight sen dividend",1
Operating profit rose to EUR2 .4 m from EUR1 .6 m year earlier .,1
singapore property prices tick up but developers may face difficulty raising prices by much,-1
"The decision to sell a share in Lenenergo was reached in line with Fortum 's strategic plans to invest mainly in generating assets in Russia , while Lenenergo is a grid company , the press release said .",1
velesto 's successful claim against frontier seen to lower finance costs,-1
"fitch downgrades petronas long-term credit ratings to ' a-', after m'sia 's downgrade",-1
"Valeant, AstraZeneca strike psoriasis drug deal",1
stocks rise after sell-off; yields up on comments by fed chair,1
skittish start for klci ahead of bank negara mpc meet on friday,1
Nokia and Elisa will work together to bring a superior mobile gaming experience for Elisa customers .,1
united plantations' 2q net profit up 3.8% on lower tax expenses,1
"Biohit said that it will reduce the number of leased personnel by 10 , and lay off 10 of its own personnel .",-1
"china 's overseas property purchases, investments slump as capital controls bite",-1
"The Ministry of Water in Tanzania has awarded Poyry a water and sanitation engineering assignment for the rehabilitation and extension of water supply and sanitation infrastructure in Bukoba and Musoma , situated at Lake Victoria in northern Tanzania .",1
"batu kawan 's 1q net profit triples on higher revenue, land disposal",1
